48,65,48,286,258,286,258,65
342,98,342,213,481,213,481,98
563,42,563,277,811,277,811,42
935,158,935,205,993,205,993,158
1118,81,1118,311,1393,311,1393,81
1451,134,1451,253,1587,253,1587,134
37,372,37,592,263,592,263,372
313,334,313,551,524,551,524,334
670,426,670,478,719,478,719,426
858,386,858,542,1027,542,1027,386
1107,348,1107,582,1331,582,1331,348
1454,474,1454,516,1505,516,1505,474
74,629,74,763,237,763,237,629
322,664,322,814,461,814,461,664
541,647,541,837,744,837,744,647
906,706,906,736,954,736,954,706
1145,682,1145,830,1320,830,1320,682
1338,612,1338,880,1600,880,1600,612
139,965,139,1008,185,1008,185,965
291,829,291,1130,555,1130,555,829
598,899,598,1070,755,1070,755,899
840,927,840,1078,1016,1078,1016,927
1053,877,1053,1098,1313,1098,1313,877
1391,930,1391,1088,1520,1088,1520,930
