95,114,95,197,201,197,201,114
370,146,370,195,419,195,419,146
635,102,635,197,729,197,729,102
959,160,959,191,988,191,988,160
1211,141,1211,236,1289,236,1289,141
1492,188,1492,239,1549,239,1549,188
124,432,124,505,186,505,186,432
361,410,361,494,471,494,471,410
684,438,684,466,713,466,713,438
924,451,924,498,987,498,987,451
1175,425,1175,515,1274,515,1274,425
1466,480,1466,508,1498,508,1498,480
130,668,130,730,183,730,183,668
374,692,374,753,419,753,419,692
623,696,623,789,684,789,684,696
919,709,919,736,946,736,946,709
1197,733,1197,778,1258,778,1258,733
1436,684,1436,766,1512,766,1512,684
145,964,145,990,179,990,179,964
362,919,362,997,451,997,451,919
633,962,633,1012,693,1012,693,962
897,968,897,1022,960,1022,960,968
1148,947,1148,1018,1236,1018,1236,947
1428,984,1428,1030,1486,1030,1486,984
