46,54,46,289,260,289,260,54
340,94,340,233,476,233,476,94
560,42,560,278,813,278,813,42
934,157,934,205,993,205,993,157
1119,43,1119,311,1396,311,1396,43
1444,134,1444,258,1584,258,1584,134
35,352,35,593,267,593,267,352
314,334,314,551,524,551,524,334
667,424,667,480,722,480,722,424
856,383,856,549,1026,549,1026,383
1101,339,1101,596,1335,596,1335,339
1453,474,1453,517,1506,517,1506,474
72,628,72,766,240,766,240,628
320,662,320,815,463,815,463,662
545,641,545,844,764,844,764,641
905,704,905,737,957,737,957,704
1124,671,1124,831,1323,831,1323,671
1320,607,1320,881,1608,881,1608,607
138,964,138,1010,186,1010,186,964
288,826,288,1131,559,1131,559,826
581,887,581,1070,758,1070,758,887
838,915,838,1080,1022,1080,1022,915
1047,877,1047,1131,1313,1131,1313,877
1367,926,1367,1091,1531,1091,1531,926
