105,120,105,193,194,193,194,120
387,157,387,204,432,204,432,157
658,111,658,203,723,203,723,111
961,164,961,190,988,190,988,164
1223,135,1223,224,1285,224,1285,135
1492,189,1492,236,1541,236,1541,189
107,409,107,478,165,478,165,409
375,415,375,483,461,483,461,415
686,437,686,466,714,466,714,437
935,454,935,494,983,494,983,454
1192,433,1192,497,1272,497,1272,433
1468,480,1468,508,1497,508,1497,480
135,679,135,733,185,733,185,679
377,696,377,748,418,748,418,696
629,689,629,765,680,765,680,689
921,709,921,736,943,736,943,709
1204,735,1204,775,1252,775,1252,735
1446,708,1446,785,1501,785,1501,708
153,965,153,991,176,991,176,965
348,938,348,1000,434,1000,434,938
644,962,644,1011,691,1011,691,962
900,966,900,1013,950,1013,950,966
1145,949,1145,1006,1220,1006,1220,949
1428,985,1428,1029,1478,1029,1478,985
