50,71,50,270,254,270,254,71
378,126,378,226,468,226,468,126
591,78,591,270,781,270,781,78
945,156,945,198,994,198,994,156
1139,115,1139,305,1362,305,1362,115
1485,142,1485,239,1581,239,1581,142
56,400,56,575,259,575,259,400
322,343,322,539,520,539,520,343
677,432,677,472,719,472,719,432
875,420,875,525,1026,525,1026,420
1117,372,1117,562,1339,562,1339,372
1459,476,1459,513,1502,513,1502,476
81,639,81,746,211,746,211,639
325,668,325,794,459,794,459,668
541,672,541,815,743,815,743,672
913,696,913,732,950,732,950,696
1171,684,1171,823,1304,823,1304,684
1380,619,1380,805,1593,805,1593,619
144,964,144,1002,186,1002,186,964
302,860,302,1099,500,1099,500,860
617,944,617,1068,745,1068,745,944
859,930,859,1074,993,1074,993,930
1108,880,1108,1060,1326,1060,1326,880
1416,947,1416,1063,1511,1063,1511,947
