91,109,91,204,202,204,202,109
366,142,366,194,420,194,420,142
632,100,632,202,735,202,735,100
956,159,956,192,990,192,990,159
1203,137,1203,236,1300,236,1300,137
1491,188,1491,239,1552,239,1552,188
115,433,115,507,195,507,195,433
356,404,356,504,469,504,469,404
686,438,686,466,715,466,715,438
922,447,922,506,992,506,992,447
1179,419,1179,520,1274,520,1274,419
1465,480,1465,508,1499,508,1499,480
129,665,129,731,184,731,184,665
369,691,369,759,423,759,423,691
617,695,617,793,687,793,687,695
920,709,920,736,947,736,947,709
1193,727,1193,779,1262,779,1262,727
1431,684,1431,770,1518,770,1518,684
144,964,144,990,179,990,179,964
363,916,363,1002,453,1002,453,916
631,962,631,1015,695,1015,695,962
895,968,895,1026,964,1026,964,968
1147,945,1147,1024,1242,1024,1242,945
1427,982,1427,1030,1489,1030,1489,982
