88,106,88,204,196,204,196,106
360,134,360,196,424,196,424,134
630,99,630,207,740,207,740,99
955,157,955,191,990,191,990,157
1206,134,1206,238,1303,238,1303,134
1481,186,1481,239,1559,239,1559,186
101,424,101,499,194,499,194,424
355,392,355,506,465,506,465,392
683,437,683,466,715,466,715,437
917,449,917,505,994,505,994,449
1176,415,1176,526,1273,526,1273,415
1474,479,1474,507,1500,507,1500,479
127,662,127,744,184,744,184,662
366,686,366,760,420,760,420,686
621,692,621,793,680,793,680,692
917,709,917,737,947,737,947,709
1188,726,1188,780,1264,780,1264,726
1435,684,1435,774,1521,774,1521,684
144,965,144,994,180,994,180,965
360,920,360,1010,453,1010,453,920
621,962,621,1021,702,1021,702,962
892,966,892,1028,964,1028,964,966
1142,950,1142,1026,1242,1026,1242,950
1421,980,1421,1042,1493,1042,1493,980
