58,85,58,251,213,251,213,85
351,130,351,199,427,199,427,130
604,70,604,242,764,242,764,70
952,155,952,193,991,193,991,155
1162,121,1162,295,1334,295,1334,121
1486,155,1486,233,1559,233,1559,155
78,415,78,523,224,523,224,415
330,356,330,535,488,535,488,356
682,435,682,469,716,469,716,435
914,425,914,525,1001,525,1001,425
1144,391,1144,555,1315,555,1315,391
1462,478,1462,510,1499,510,1499,478
105,649,105,724,184,724,184,649
342,689,342,773,444,773,444,689
584,675,584,795,720,795,720,675
916,704,916,735,950,735,950,704
1175,707,1175,796,1268,796,1268,707
1397,648,1397,795,1554,795,1554,648
148,969,148,997,186,997,186,969
339,877,339,1031,482,1031,482,877
624,966,624,1046,723,1046,723,966
877,962,877,1039,982,1039,982,962
1143,887,1143,1049,1273,1049,1273,887
1425,962,1425,1043,1506,1043,1506,962
