49,65,49,288,259,288,259,65
346,96,346,210,469,210,469,96
561,41,561,278,813,278,813,41
934,158,934,206,993,206,993,158
1119,68,1119,313,1388,313,1388,68
1454,135,1454,255,1585,255,1585,135
36,365,36,592,267,592,267,365
314,334,314,552,525,552,525,334
671,426,671,478,720,478,720,426
857,384,857,546,1027,546,1027,384
1104,349,1104,590,1332,590,1332,349
1452,475,1452,516,1505,516,1505,475
73,628,73,763,228,763,228,628
321,663,321,813,463,813,463,663
545,641,545,843,758,843,758,641
906,707,906,736,949,736,949,707
1136,681,1136,830,1321,830,1321,681
1328,610,1328,877,1606,877,1606,610
138,964,138,1010,185,1010,185,964
290,827,290,1130,558,1130,558,827
602,914,602,1069,753,1069,753,914
840,926,840,1078,1018,1078,1018,926
1051,877,1051,1114,1313,1114,1313,877
1394,933,1394,1086,1526,1086,1526,933
