51,80,51,270,240,270,240,80
378,125,378,220,465,220,465,125
609,77,609,257,764,257,764,77
949,155,949,196,993,196,993,155
1156,121,1156,303,1341,303,1341,121
1476,144,1476,235,1576,235,1576,144
73,403,73,535,257,535,257,403
327,345,327,539,489,539,489,345
679,435,679,471,717,471,717,435
896,422,896,526,1012,526,1012,422
1123,381,1123,561,1321,561,1321,381
1461,478,1461,512,1501,512,1501,478
94,641,94,745,189,745,189,641
330,674,330,779,455,779,455,674
562,674,562,798,736,798,736,674
913,698,913,730,947,730,947,698
1171,682,1171,809,1285,809,1285,682
1382,652,1382,802,1569,802,1569,652
143,966,143,1002,185,1002,185,966
319,872,319,1055,487,1055,487,872
616,951,616,1058,736,1058,736,951
864,941,864,1059,978,1059,978,941
1125,883,1125,1060,1302,1060,1302,883
1420,962,1420,1052,1508,1052,1508,962
