114,128,114,190,189,190,189,128
391,158,391,202,427,202,427,158
659,118,659,199,716,199,716,118
961,163,961,189,986,189,986,163
1226,142,1226,222,1285,222,1285,142
1493,192,1493,235,1530,235,1530,192
111,415,111,475,164,475,164,415
382,417,382,479,460,479,460,417
687,437,687,465,713,465,713,437
933,454,933,494,983,494,983,454
1203,443,1203,495,1268,495,1268,443
1472,481,1472,508,1493,508,1493,481
136,685,136,728,183,728,183,685
378,700,378,743,416,743,416,700
630,695,630,764,680,764,680,695
923,710,923,735,940,735,940,710
1203,737,1203,776,1248,776,1248,737
1448,711,1448,785,1499,785,1499,711
153,964,153,991,172,991,172,964
356,946,356,998,434,998,434,946
646,967,646,1007,690,1007,690,967
899,972,899,1014,949,1014,949,972
1156,975,1156,1029,1225,1029,1225,975
1431,987,1431,1028,1470,1028,1470,987
