100,123,100,193,194,193,194,123
384,156,384,204,432,204,432,156
658,111,658,203,720,203,720,111
961,162,961,189,987,189,987,162
1223,135,1223,222,1284,222,1284,135
1490,188,1490,236,1542,236,1542,188
102,414,102,481,165,481,165,414
377,415,377,486,465,486,465,415
686,437,686,465,713,465,713,437
932,454,932,494,986,494,986,454
1193,437,1193,497,1274,497,1274,437
1470,480,1470,508,1494,508,1494,480
134,678,134,738,185,738,185,678
377,696,377,748,418,748,418,696
628,692,628,766,679,766,679,692
921,710,921,736,943,736,943,710
1200,737,1200,777,1254,777,1254,737
1446,706,1446,785,1504,785,1504,706
152,965,152,991,175,991,175,965
350,942,350,1000,435,1000,435,942
641,961,641,1014,691,1014,691,961
900,968,900,1020,950,1020,950,968
1154,979,1154,1031,1239,1031,1239,979
1424,986,1424,1030,1479,1030,1479,986
