1,11,159,11,217,188,217,188,159
2,243,109,202,113,208,170,248,166
3,189,95,140,106,162,205,211,195
4,146,225,26,255,41,314,160,284
5,164,245,151,365,208,372,222,251
6,282,203,224,209,229,256,288,250
7,220,162,195,187,219,211,244,186
8,145,197,128,227,149,239,167,209
9,328,148,270,210,319,256,377,193
10,199,234,170,280,180,287,209,241
11,271,191,216,230,330,392,384,354
12,179,0,119,36,204,178,264,142
13,223,221,199,223,201,252,225,251
14,201,204,201,223,227,224,228,205
15,199,205,148,212,152,246,204,239
16,82,110,68,161,206,198,220,148
17,278,196,266,207,284,229,297,219
18,324,90,211,156,240,206,354,140
19,193,190,185,203,206,217,214,204
