1,173,265,125,397,180,417,228,285
2,146,6,124,195,200,204,222,15
3,180,166,141,176,153,226,193,216
4,310,69,231,204,285,236,365,101
5,209,276,188,322,241,346,262,301
6,222,29,207,113,267,123,281,39
7,219,234,196,298,343,352,366,287
8,331,181,296,210,334,254,368,225
9,238,200,190,203,192,238,240,235
10,334,208,226,219,232,273,340,262
11,137,224,80,366,133,387,190,245
12,183,238,183,279,226,279,226,238
13,227,98,189,196,237,214,274,116
14,133,130,130,173,177,177,181,134
15,49,101,-4,152,99,257,151,206
16,158,202,32,219,40,279,166,262
17,189,208,157,228,173,254,205,234
18,280,176,231,189,240,223,289,210
19,153,233,141,255,157,264,169,242
