1,105,113,84,170,200,212,221,155
2,11,175,11,240,164,240,164,175
3,213,52,155,67,190,206,248,191
4,318,233,259,269,357,429,416,393
5,375,220,256,224,258,280,377,276
6,147,244,132,265,160,285,175,264
7,236,286,226,361,282,369,292,294
8,276,140,212,201,239,230,304,168
9,302,128,261,149,287,198,328,177
10,149,220,147,259,219,265,222,225
11,220,263,141,407,196,438,275,293
12,148,242,106,377,173,397,215,263
13,264,213,217,229,226,255,273,238
14,285,248,258,263,277,300,304,286
15,241,4,173,24,229,216,298,196
16,426,141,257,166,267,235,436,211
17,220,244,220,288,259,288,259,244
18,357,44,251,212,311,251,417,82
19,217,194,199,208,218,233,237,219
