1,164,180,164,198,194,198,194,180
2,16,158,7,221,163,243,172,181
3,210,11,209,151,269,152,270,11
4,225,145,221,201,360,210,364,154
5,291,131,210,184,225,208,306,156
6,200,101,186,137,210,146,223,110
7,200,215,176,273,295,323,319,264
8,158,138,134,162,168,196,192,172
9,208,178,185,201,210,226,233,202
10,99,59,64,89,130,164,165,134
11,176,188,97,250,128,289,207,227
12,133,16,89,50,183,170,227,136
13,271,95,190,151,216,188,296,132
14,188,199,181,274,216,277,223,202
15,160,177,87,244,106,265,179,198
16,185,140,185,190,210,190,210,140
