1,232,82,187,100,227,198,272,180
2,264,112,205,170,238,203,297,145
3,310,64,241,198,301,229,370,95
4,143,51,99,91,192,195,236,155
5,178,152,152,176,176,203,202,179
6,84,156,68,212,181,245,197,188
7,185,185,70,266,107,319,222,238
8,192,219,137,297,165,317,220,239
9,220,245,163,264,206,394,263,375
10,226,267,201,279,216,312,242,300
11,276,201,234,235,322,347,364,314
12,233,230,209,284,264,309,288,255
13,397,164,268,188,279,249,408,225
14,300,161,271,210,306,230,335,182
15,234,198,234,224,273,224,273,198
16,214,215,201,236,223,249,235,228
17,222,198,222,209,237,209,237,198
18,233,212,224,220,237,233,245,224
19,226,206,220,219,229,223,235,211
21,215,178,183,187,194,225,226,216
