1,224,99,188,128,232,182,267,153
2,252,174,218,185,228,215,262,204
3,330,117,243,141,258,195,345,171
4,168,111,136,142,210,217,242,185
5,161,168,152,186,214,217,223,199
6,110,184,106,229,212,239,216,194
7,218,220,143,231,149,275,224,264
8,196,265,138,266,139,308,197,306
9,226,248,190,266,238,362,275,344
10,236,263,201,279,214,309,249,293
11,279,210,241,240,308,328,347,298
12,223,225,223,255,248,255,248,225
13,240,201,240,245,351,245,351,201
14,327,172,234,199,242,225,334,197
21,213,207,213,224,239,224,239,207
