1,198,39,161,167,216,183,253,55
2,319,85,211,194,255,238,363,129
3,259,147,230,165,252,200,281,183
4,323,171,257,183,264,225,330,212
5,248,206,243,240,269,244,274,210
7,209,220,178,282,249,318,280,256
8,167,241,164,297,207,299,209,244
9,178,202,72,243,82,270,189,229
11,156,189,130,190,133,226,158,225
12,81,84,37,128,139,230,183,186
13,153,120,123,137,172,218,201,201
14,183,100,148,120,194,201,229,181
15,190,200,78,264,104,309,216,245
16,151,189,149,221,193,224,195,192
17,217,202,208,227,244,240,254,215
18,220,175,197,202,213,216,237,189
19,185,229,185,242,200,242,200,229
20,197,203,187,222,205,231,215,212
