1,189,59,189,186,241,186,241,59
2,291,89,196,175,234,217,329,130
3,244,155,226,205,267,220,285,170
4,319,172,256,183,263,224,326,213
5,246,201,233,225,266,242,279,218
7,213,227,206,290,268,296,275,233
8,198,240,157,272,184,306,224,274
9,102,219,88,259,123,271,137,231
11,164,185,127,201,140,230,177,214
12,81,99,52,150,179,224,208,173
13,164,119,131,134,172,221,204,206
14,172,140,172,201,208,201,208,140
15,126,221,126,268,197,268,197,221
16,187,198,175,215,197,230,209,213
17,207,206,207,229,238,229,238,206
18,203,187,203,215,222,215,222,187
19,190,228,190,244,201,244,201,228
