1,189,64,189,186,239,186,239,64
2,289,95,195,175,228,214,322,134
3,241,155,226,205,270,219,286,169
4,315,172,225,190,232,229,322,211
5,232,202,222,226,263,242,272,219
7,210,225,197,282,262,297,275,240
8,198,234,154,251,173,302,218,285
9,158,217,88,241,99,273,169,250
11,140,185,127,219,152,229,165,195
12,84,106,57,154,185,225,212,177
13,160,119,131,134,154,179,184,164
14,188,148,167,170,202,205,224,184
15,152,198,146,228,197,239,203,209
16,212,198,194,210,201,222,220,210
17,220,201,205,221,219,232,234,211
18,213,185,204,197,214,205,223,192
