1,202,40,162,157,216,176,257,59
2,323,87,214,210,261,252,370,129
3,270,147,232,157,243,200,281,191
4,333,176,259,179,261,225,335,222
5,271,207,246,209,249,245,274,243
7,211,230,197,319,265,329,279,240
8,165,243,165,301,211,301,211,243
9,179,200,71,257,86,285,194,228
11,150,191,127,198,137,231,160,224
12,82,91,35,134,122,227,169,183
13,153,120,121,140,170,218,202,199
14,183,94,146,117,197,199,234,176
15,188,211,77,285,102,324,214,250
16,154,180,139,210,181,232,197,201
17,220,199,205,229,246,250,261,219
18,218,169,198,201,221,216,241,183
19,197,230,184,238,189,247,202,238
20,198,198,184,221,203,232,217,209
