1,226,101,213,201,238,204,251,104
2,135,44,87,92,198,201,245,153
3,164,161,133,178,194,286,224,269
4,182,66,172,195,223,199,233,70
5,28,140,24,194,143,203,147,149
6,169,178,34,251,60,299,195,226
7,201,277,131,286,151,433,220,424
8,142,214,82,288,121,319,180,245
9,236,228,189,267,302,403,349,365
10,272,256,228,265,237,308,281,299
11,359,172,266,224,298,281,391,229
13,330,70,201,186,244,234,373,118
14,204,191,182,216,205,235,227,210
15,271,214,205,220,208,256,274,250
16,143,195,143,226,192,226,192,195
17,193,221,172,243,182,253,204,232
