1,1050,995,1017,1061,1071,1088,1104,1022
2,1070,896,999,934,1017,967,1088,930
3,1032,914,1008,998,1102,1025,1126,941
4,1153,945,1021,1118,1153,1218,1284,1045
5,1463,607,1065,641,1103,1086,1501,1052
6,1473,830,1337,1064,1412,1107,1548,873
7,1238,1051,1228,1112,1328,1128,1338,1067
8,978,1070,952,1373,1318,1404,1344,1102
9,800,1154,668,1473,1150,1672,1281,1353
10,715,619,396,1020,845,1377,1164,977
11,972,474,834,727,1078,859,1215,606
12,1025,842,1023,926,1101,928,1103,844
13,934,675,856,756,1025,917,1103,836
